Name,Designation,School,ImageURL
Dr. Peplluis Esteva de la Rosa,Executive Dean - School of Technology,School of Technology,https://woxsen.edu.in/uploads/F20241106112340.webp
Dr Amit Swamy,Associate Dean and Professor,School of Technology,https://woxsen.edu.in/uploads/A20241119113327.webp
Amogh Deshmukh,Assistant Dean – Student Affairs,School of Technology,https://woxsen.edu.in/uploads/F20230602062212.webp
Dr. Naveed Jeelani Khan,Assistant Dean – Frontier Technologies Hub,School of Technology,https://woxsen.edu.in/uploads/A20240916091449.webp
Dr. Purushotham Muniganti,Assistant Dean – International Relations,School of Technology,https://woxsen.edu.in/uploads/A20230703073320.webp
Dr. Sarah Mariam Roy,Assistant Dean – Academic Affairs,School of Technology,https://woxsen.edu.in/uploads/A20230812084725.webp
Dr. Rama Rao KVSN,Assistant Dean – Corporate Alignment,School of Technology,https://woxsen.edu.in/uploads/A20241203125159.webp
Prof. Venkata Satya Madhav M,Professor of Practice,School of Technology,https://woxsen.edu.in/uploads/A20250107011239.webp
Dr. Brundaban Mishra,Dipesh Chakrabarty Professor of History,School of Technology,https://woxsen.edu.in/uploads/F20230602065539.webp
Prof. P Venkata Narayana,Professor & Director Research –VP OFFICE,School of Technology,https://woxsen.edu.in/uploads/A20241025100041.webp
Dr. Bhargav Prajwal Pathri,Associate Professor,School of Technology,https://woxsen.edu.in/uploads/F20230602063021.webp
Dr. Venkata Narayan P,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20230602063244.webp
Dr. Bhanu Prakash S,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20230602063453.webp
Dr. Prashant Kumar,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20230602063512.webp
Dr. Indranath Chatterjee,Adjunct Professor,School of Technology,https://woxsen.edu.in/uploads/F20230602065120.webp
Prof. Subin Scaria,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20230602063727.webp
Dr. Ram Murat Singh,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20230812082042.webp
Prof. Sunil Kumar Tiwari,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20230925094949.webp
Dr. Amlan Kanti Halder,Asistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20240212020451.webp
Dr. Kamil Reza K,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20240213020036.webp
Dr. Dharmendra Kr Mishra,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20240212025758.webp
Dr. Venkat Reddy P,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20240212020553.webp
Sandeep Dasari,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20240326035816.webp
Prof. Anand Kakarla,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20240405044908.webp
Prof. Vaishali Thakur,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20240423043014.webp
Dr. Abhaya Kumar Pradhan,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20240424041739.webp
Prof. Meher Gayatri Devi,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20240814084459.webp
Dr. Segun Emmanuel Ibitoye,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20240813084009.webp
Dr. Abdullahi Jubrin Monday,Assistant  Professor,School of Technology,https://woxsen.edu.in/uploads/A20241008101205.webp
Dr. Kiran Siripuri,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20241120112729.webp
Dr. Thasni T,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/F20241121114226.webp
Prof. Vuppula Roopa,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20241204120320.webp
Dr Syed Javeed Pasha,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20241216123652.webp
Dr. Ajit Kumar,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20241216124255.webp
Dr. Ajin R Nair,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20250106010550.webp
Prof. Annapurna Pradhan,Assistant Professor,School of Technology,https://woxsen.edu.in/uploads/A20250107010402.webp
Dr. Daya Shankar,Dean- School of Sciences,School of Sciences,https://woxsen.edu.in/uploads/F20250402042507.webp
Dr. Beauty Pandey,Associate Dean,School of Sciences,https://woxsen.edu.in/uploads/F20230602063758.webp
Dr. Ramakrishna Madaka,Assistant Dean – Student Affairs,School of Sciences,https://woxsen.edu.in/uploads/F20230602063821.webp
Dr. Dipak Kumar Sahoo,Assistant Dean – Academic Affairs,School of Sciences,https://woxsen.edu.in/uploads/F20230602065223.webp
Dr. Madhuri Pola,Assistant Dean – Corporate Alignment,School of Sciences,https://woxsen.edu.in/uploads/A20241205124346.webp
Dr. Vishal Anand,Assistant Dean – International Relations,School of Sciences,https://woxsen.edu.in/uploads/A20241205120139.webp
Dr. Ravilisetty Revathi,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/F20230602063503.webp
Dr. T Santhosh Kumar,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20231226123320.webp
Dr. Shouvik Chakraborty,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20240326031012.webp
Dr. Amit Kumar Singh,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20240813084719.webp
Dr. Sudarshana Santhosh K,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241008100240.webp
Dr. Suman Chirra,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241022104830.webp
Dr. Ayan Banerjee,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241203121438.webp
Dr. Thota Srikar,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241204124845.webp
Dr. Soumyadip Patra,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241204120257.webp
Dr. Bidisha Roy,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241216124852.webp
Dr. Bixapathi Banoth Nayak,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241216125236.webp
Dr. Jagoba Rey,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20241216120258.webp
Dr. Venkata Narayana P,Assistant professor,School of Sciences,https://woxsen.edu.in/uploads/A20241216125057.webp
Dr. Heeramoni Boro,Assistant professor,School of Sciences,https://woxsen.edu.in/uploads/A20250107014006.webp
Dr. Basu Bhattacharjee,Assistant Professor,School of Sciences,https://woxsen.edu.in/uploads/A20250213022757.webp
